Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,1,Sandwich Place,Gym,Coffee Shop,Yoga Studio,Deli / Bodega,Steakhouse,Shopping Mall,Seafood Restaurant,Pizza Place,Department Store
Manhattan,Chinatown,40.71561842231432,-73.99427936255978,1,Chinese Restaurant,Cocktail Bar,American Restaurant,Spa,Bakery,Hotpot Restaurant,Optical Shop,Vietnamese Restaurant,Salon / Barbershop,Dessert Shop
Manhattan,Washington Heights,40.85190252555305,-73.93690027985234,0,Café,Bakery,Grocery Store,Chinese Restaurant,Mobile Phone Shop,Latin American Restaurant,Deli / Bodega,Tapas Restaurant,New American Restaurant,Park
Manhattan,Inwood,40.86768396449915,-73.92121042203897,0,Mexican Restaurant,Lounge,Restaurant,Café,Pizza Place,Wine Bar,American Restaurant,Bakery,Frozen Yogurt Shop,Deli / Bodega
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,0,Pizza Place,Coffee Shop,Café,Mexican Restaurant,Sandwich Place,Indian Restaurant,Sushi Restaurant,Park,Deli / Bodega,Yoga Studio
Manhattan,Manhattanville,40.8169344294978,-73.9573853935188,1,Coffee Shop,Seafood Restaurant,Italian Restaurant,Mexican Restaurant,Chinese Restaurant,Park,Deli / Bodega,Supermarket,Boutique,Spanish Restaurant
Manhattan,Central Harlem,40.81597606742414,-73.94321112603905,1,African Restaurant,Bar,French Restaurant,American Restaurant,Seafood Restaurant,Chinese Restaurant,Caribbean Restaurant,Spa,Dessert Shop,Beer Bar
Manhattan,East Harlem,40.79224946663033,-73.94418223148524,0,Mexican Restaurant,Bakery,Thai Restaurant,Latin American Restaurant,Deli / Bodega,Taco Place,Gym,Grocery Store,Beer Bar,Liquor Store
Manhattan,Upper East Side,40.775638573301805,-73.96050763135,1,Italian Restaurant,Coffee Shop,Exhibit,Art Gallery,Bakery,Gym / Fitness Center,Juice Bar,Pizza Place,French Restaurant,Yoga Studio
Manhattan,Yorkville,40.775929849884875,-73.94711784471826,1,Italian Restaurant,Gym,Coffee Shop,Bar,Deli / Bodega,Pizza Place,Diner,Mexican Restaurant,Sushi Restaurant,Japanese Restaurant
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,1,Italian Restaurant,Coffee Shop,Sushi Restaurant,Pizza Place,Cocktail Bar,Burger Joint,Café,Gym,Gym / Fitness Center,Mexican Restaurant
Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953,4,Sandwich Place,Coffee Shop,Gym,Park,Soccer Field,Farmers Market,Supermarket,Metro Station,School,Outdoors & Recreation
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,1,Italian Restaurant,Wine Bar,Bar,Coffee Shop,Indian Restaurant,Bakery,Café,Mediterranean Restaurant,Restaurant,Pub
Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262,2,Plaza,Theater,Italian Restaurant,Café,Performing Arts Venue,Concert Hall,Gym,French Restaurant,American Restaurant,Indie Movie Theater
Manhattan,Clinton,40.75910089146212,-73.99611936309479,2,Theater,Italian Restaurant,Gym / Fitness Center,American Restaurant,Coffee Shop,Spa,Hotel,Wine Shop,Gym,Sandwich Place
Manhattan,Midtown,40.75469110270623,-73.98166882730304,1,Hotel,Coffee Shop,Clothing Store,Bookstore,American Restaurant,Theater,Bakery,Sporting Goods Shop,Café,French Restaurant
